X,Y
6.3e-05,8.7e-05
6.3e-05,9e-05
6.3e-05,9.3e-05
6.3e-05,9.6e-05
6.3e-05,9.9e-05
6.3e-05,0.000102
6.3e-05,0.000105
6.3e-05,0.000108
6.3e-05,0.000111
6.3e-05,0.000114
6.3e-05,0.000117
6.3e-05,0.00012
6.3e-05,0.000123
6.3e-05,0.000126
6.3e-05,0.000129
6.3e-05,0.000132
6.3e-05,0.000135
6.3e-05,0.000138
6.3e-05,0.000141
6.3e-05,0.000144
6.3e-05,0.000147
6.3e-05,0.00015
6.6e-05,3e-06
6.6e-05,6e-06
6.6e-05,9e-06
6.6e-05,1.2e-05
6.6e-05,1.5e-05
6.6e-05,1.8e-05
6.6e-05,2.1e-05
6.6e-05,2.4e-05
6.6e-05,2.7e-05
6.6e-05,3e-05
6.6e-05,3.3e-05
6.6e-05,3.6e-05
6.6e-05,3.9e-05
6.6e-05,4.2e-05
6.6e-05,4.5e-05
6.6e-05,4.8e-05
6.6e-05,5.1e-05
6.6e-05,5.4e-05
6.6e-05,5.7e-05
6.6e-05,6e-05
6.6e-05,6.3e-05
6.6e-05,6.6e-05
6.6e-05,6.9e-05
6.6e-05,7.2e-05
6.6e-05,7.5e-05
6.6e-05,7.8e-05
6.6e-05,8.1e-05
6.6e-05,8.4e-05
6.6e-05,8.7e-05
6.6e-05,9e-05
6.6e-05,9.3e-05
6.6e-05,9.6e-05
6.6e-05,9.9e-05
6.6e-05,0.000102
6.6e-05,0.000105
6.6e-05,0.000108
6.6e-05,0.000111
6.6e-05,0.000114
6.6e-05,0.000117
6.6e-05,0.00012
6.6e-05,0.000123
6.6e-05,0.000126
6.6e-05,0.000129
6.6e-05,0.000132
6.6e-05,0.000135
6.6e-05,0.000138
6.6e-05,0.000141
6.6e-05,0.000144
6.6e-05,0.000147
6.6e-05,0.00015
6.9e-05,3e-06
6.9e-05,6e-06
6.9e-05,9e-06
6.9e-05,1.2e-05
6.9e-05,1.5e-05
6.9e-05,1.8e-05
